Indicador,Nível Territorial,Abertura Territorial,Variável de abertura 1,Categoria de abertura 1,Variável de abertura 2,Categoria de abertura 2,Valor,mes_entrevista,Maio,Junho,Julho,Situação Maio para Junho,Situação Junho para Julho,Agosto,Situação Julho para Agosto,Setembro,Situação Agosto para Setembro,Outubro,Situação Setembro para Outubro,Novembro
,,,,,,,,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Sexo,Total,-,-,24012.308054568697,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Sexo,Homem,-,-,10406.81512875569,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Sexo,Mulher,-,-,13605.49292581299,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,Total,-,-,24012.308054568697,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,1735.7045546828922,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,2268.6729766715193,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,4296.956701247115,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,12149.556778142394,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,3561.417043824768,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade 2,Total ,-,-,24012.308054568697,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,20450.891010743915,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,3561.417043824768,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Cor ou Raça,Total4,-,-,24012.308054568697,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Cor ou Raça,Branca,-,-,9674.587942436572,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Cor ou Raça,Preta ou parda,-,-,13980.966363750738,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Nível de instrução,Total,-,-,24012.308054568697,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,7877.641931692336,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,3923.287695213503,5,,,,,,,,,,,,
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,8360.363563077983,5,,,,,,,,,,,,
